Branch,Code,Variable,year,value
Highland,C03M,Video Materials,2011,6779
Highland,C04M,Multi-format Materials,2011,20
Highland,C05M,Other Physical Materials,2011,95
Highland,C06M,Total Materials (Manually Input),2011,98052
Highland,C07M,Print Serial Subscriptions,2011,88
Merriam Park,P01M,Population of the Legal Service Area,2011,30547
Merriam Park,P02aM,Registered Borrowers - Residents,2011,18855
Merriam Park,P02bM,Registered Borrowers - Reciprocal,2011,5361
Merriam Park,P02cM,Total Registered Borrowers (Manually Input),2011,24216
Merriam Park,P04M,Library Visits,2011,175023
Merriam Park,P06M,Reference Transactions,2011,31668
Merriam Park,P08M,Stations,2011,0
Merriam Park,P09M,Users of Public Internet Computers,2011,23741
Merriam Park,P15M,Children's Circulation,2011,132063
Merriam Park,NA,Wireless Sessions,2011,NA
Merriam Park,P16M,Children's Library Programs,2011,113
Merriam Park,P17M,Children's Program Attendance,2011,3984
Merriam Park,P18M,Yound Adult Library Programs,2011,20
Merriam Park,P19M,Young Adult Program Attendance,2011,427
Merriam Park,P20M,Adult Circulation,2011,233048
Merriam Park,P21M,Adult Library Programs,2011,50
Merriam Park,P22M,Adult Program Attendance,2011,1001
Merriam Park,P23M,Other Circulation,2011,0
Merriam Park,P24M,Total Circulation,2011,365111
Merriam Park,NA,Total Programs (Manually Input),2011,NA
Merriam Park,NA,Total Attendance (Manually Input),2011,NA
Merriam Park,C01M,Print Materials,2011,58152
Merriam Park,C02M,Audio Materials,2011,6321
Merriam Park,C03M,Video Materials,2011,6400
Merriam Park,C04M,Multi-format Materials,2011,11
Merriam Park,C05M,Other Physical Materials,2011,95
Merriam Park,C06M,Total Materials (Manually Input),2011,70979
Merriam Park,C07M,Print Serial Subscriptions,2011,109
Rice Street,P01M,Population of the Legal Service Area,2011,29755
Rice Street,P02aM,Registered Borrowers - Residents,2011,17459
Rice Street,P02bM,Registered Borrowers - Reciprocal,2011,3190
Rice Street,P02cM,Total Registered Borrowers (Manually Input),2011,20649
Rice Street,P04M,Library Visits,2011,230946
Rice Street,P06M,Reference Transactions,2011,15704
Rice Street,P08M,Stations,2011,0
Rice Street,P09M,Users of Public Internet Computers,2011,43997
Rice Street,NA,Wireless Sessions,2011,NA
Rice Street,P15M,Children's Circulation,2011,55681
Rice Street,P16M,Children's Library Programs,2011,180
Rice Street,P17M,Children's Program Attendance,2011,2739
Rice Street,P18M,Yound Adult Library Programs,2011,72
Rice Street,P19M,Young Adult Program Attendance,2011,783
Rice Street,P20M,Adult Circulation,2011,64979
Rice Street,P21M,Adult Library Programs,2011,164
Rice Street,P22M,Adult Program Attendance,2011,880
Rice Street,P23M,Other Circulation,2011,0
Rice Street,P24M,Total Circulation,2011,120660
Rice Street,NA,Total Programs (Manually Input),2011,NA
Rice Street,NA,Total Attendance (Manually Input),2011,NA
Rice Street,C01M,Print Materials,2011,36184
Rice Street,C02M,Audio Materials,2011,2601
Rice Street,C03M,Video Materials,2011,6039
Rice Street,C04M,Multi-format Materials,2011,22
Rice Street,C05M,Other Physical Materials,2011,95
Rice Street,C06M,Total Materials (Manually Input),2011,44941
Rice Street,C07M,Print Serial Subscriptions,2011,45
Riverview,P01M,Population of the Legal Service Area,2011,14959
Riverview,P02aM,Registered Borrowers - Residents,2011,10669
Riverview,P02bM,Registered Borrowers - Reciprocal,2011,1753
Riverview,P02cM,Total Registered Borrowers (Manually Input),2011,12422
Riverview,P04M,Library Visits,2011,82859
Riverview,P06M,Reference Transactions,2011,11752
Riverview,P08M,Stations,2011,0
Riverview,P09M,Users of Public Internet Computers,2011,12190
Riverview,NA,Wireless Sessions,2011,NA
Riverview,P15M,Children's Circulation,2011,35396
Riverview,P16M,Children's Library Programs,2011,124
Riverview,P17M,Children's Program Attendance,2011,3198
Riverview,P18M,Yound Adult Library Programs,2011,28
Riverview,P19M,Young Adult Program Attendance,2011,431
Riverview,P20M,Adult Circulation,2011,34543
Riverview,P21M,Adult Library Programs,2011,88
Riverview,P22M,Adult Program Attendance,2011,533
Riverview,P23M,Other Circulation,2011,0
Riverview,P24M,Total Circulation,2011,69939
Riverview,NA,Total Programs (Manually Input),2011,NA
Riverview,NA,Total Attendance (Manually Input),2011,NA
Riverview,C01M,Print Materials,2011,19747
Riverview,C02M,Audio Materials,2011,2177
Riverview,C03M,Video Materials,2011,3584
Riverview,C04M,Multi-format Materials,2011,35
Riverview,C05M,Other Physical Materials,2011,93
Riverview,C06M,Total Materials (Manually Input),2011,25636
Riverview,C07M,Print Serial Subscriptions,2011,45
St. Anthony Park,P01M,Population of the Legal Service Area,2011,9390
St. Anthony Park,P02aM,Registered Borrowers - Residents,2011,8490
St. Anthony Park,P02bM,Registered Borrowers - Reciprocal,2011,6493
St. Anthony Park,P02cM,Total Registered Borrowers (Manually Input),2011,14983
St. Anthony Park,P04M,Library Visits,2011,122143
St. Anthony Park,P06M,Reference Transactions,2011,15522
St. Anthony Park,P08M,Stations,2011,0
St. Anthony Park,P09M,Users of Public Internet Computers,2011,11216
St. Anthony Park,NA,Wireless Sessions,2011,NA
St. Anthony Park,P15M,Children's Circulation,2011,93977
St. Anthony Park,P16M,Children's Library Programs,2011,100
St. Anthony Park,P17M,Children's Program Attendance,2011,3304
St. Anthony Park,P18M,Yound Adult Library Programs,2011,1
St. Anthony Park,P19M,Young Adult Program Attendance,2011,8
St. Anthony Park,P20M,Adult Circulation,2011,90316
St. Anthony Park,P21M,Adult Library Programs,2011,16
St. Anthony Park,P22M,Adult Program Attendance,2011,129
St. Anthony Park,P23M,Other Circulation,2011,0
St. Anthony Park,P24M,Total Circulation,2011,184293
St. Anthony Park,C01M,Print Materials,2011,33967
St. Anthony Park,C02M,Audio Materials,2011,3465
St. Anthony Park,C03M,Video Materials,2011,3589
St. Anthony Park,C04M,Multi-format Materials,2011,9
St. Anthony Park,C05M,Other Physical Materials,2011,93
St. Anthony Park,C06M,Total Materials (Manually Input),2011,41123
St. Anthony Park,C07M,Print Serial Subscriptions,2011,69
St. Paul Bookmobile,P01M,Population of the Legal Service Area,2011,NA
St. Paul Bookmobile,P02aM,Registered Borrowers - Residents,2011,8737
St. Paul Bookmobile,P02bM,Registered Borrowers - Reciprocal,2011,568
St. Paul Bookmobile,P02cM,Total Registered Borrowers (Manually Input),2011,9305
St. Paul Bookmobile,P04M,Library Visits,2011,147634
St. Paul Bookmobile,P06M,Reference Transactions,2011,44330
St. Paul Bookmobile,P08M,Stations,2011,12
St. Paul Bookmobile,P09M,Users of Public Internet Computers,2011,0
St. Paul Bookmobile,P15M,Children's Circulation,2011,77231
St. Paul Bookmobile,P16M,Children's Library Programs,2011,20
St. Paul Bookmobile,P17M,Children's Program Attendance,2011,26299
St. Paul Bookmobile,P18M,Young Adult Library Programs,2011,0
St. Paul Bookmobile,P19M,Young Adult Program Attendance,2011,0
St. Paul Bookmobile,P20M,Adult Circulation,2011,39148
St. Paul Bookmobile,P21M,Adult Library Programs,2011,11
St. Paul Bookmobile,P22M,Adult Program Attendance,2011,2080
St. Paul Bookmobile,P23M,Other Circulation,2011,0
St. Paul Bookmobile,P24M,Total Circulation,2011,116379
St. Paul Bookmobile,NA,Total Programs,2011,NA
St. Paul Bookmobile,C01M,Print Materials,2011,15163
St. Paul Bookmobile,C02M,Audio Materials,2011,576
St. Paul Bookmobile,C03M,Video Materials,2011,3074
St. Paul Bookmobile,C04M,Multi-format Materials,2011,1
St. Paul Bookmobile,C05M,Other Physical Materials,2011,92
St. Paul Bookmobile,C06M,Total Materials (Manually Input),2011,18906
St. Paul Bookmobile,C07M,Print Serial Subscriptions,2011,26
Rondo Community Outreach,P01M,Population of the Legal Service Area,2011,30804
Rondo Community Outreach,P02aM,Registered Borrowers - Residents,2011,32556
Rondo Community Outreach,P02bM,Registered Borrowers - Reciprocal,2011,8026
Rondo Community Outreach,P02cM,Total Registered Borrowers (Manually Input),2011,40582
Rondo Community Outreach,P04M,Library Visits,2011,436659
Rondo Community Outreach,P06M,Reference Transactions,2011,62764
Rondo Community Outreach,P08M,Stations,2011,0
Rondo Community Outreach,P09M,Users of Public Internet Computers,2011,69851
Rondo Community Outreach,P15M,Children's Circulation,2011,92599
Rondo Community Outreach,P16M,Children's Library Programs,2011,308
Rondo Community Outreach,P17M,Children's Program Attendance,2011,5456
Rondo Community Outreach,P18M,Yound Adult Library Programs,2011,26
Rondo Community Outreach,P19M,Young Adult Program Attendance,2011,248
Rondo Community Outreach,P20M,Adult Circulation,2011,108384
Rondo Community Outreach,P21M,Adult Library Programs,2011,582
Rondo Community Outreach,P22M,Adult Program Attendance,2011,8621
Rondo Community Outreach,P23M,Other Circulation,2011,0
Rondo Community Outreach,P24M,Total Circulation,2011,200983
Rondo Community Outreach,C01M,Print Materials,2011,68643
Rondo Community Outreach,C02M,Audio Materials,2011,5246
Rondo Community Outreach,C03M,Video Materials,2011,9060
Rondo Community Outreach,C04M,Multi-format Materials,2011,81
Rondo Community Outreach,C05M,Other Physical Materials,2011,96
Rondo Community Outreach,C06M,Total Materials (Manually Input),2011,83126
Rondo Community Outreach,C07M,Print Serial Subscriptions,2011,87
Central,P01M,Population of the Legal Service Area,2011,17295
Central,P02aM,Registered Borrowers - Residents,2011,42864
Central,P02bM,Registered Borrowers - Reciprocal,2011,18935
Central,P02cM,Total Registered Borrowers (Manually Input),2011,61799
Central,P04M,Library Visits,2011,271299
Central,P06M,Reference Transactions,2011,97080
Central,P08M,Stations,2011,3
Central,P09M,Users of Public Internet Computers,2011,44081
Central,NA,Wireless Sessions,2011,NA
Central,P15M,Children's Circulation,2011,76466
Central,P16M,Children's Library Programs,2011,302
Central,P17M,Children's Program Attendance,2011,9445
Central,P18M,Yound Adult Library Programs,2011,193
Central,P19M,Young Adult Program Attendance,2011,2874
Central,P20M,Adult Circulation,2011,158668
Central,P21M,Adult Library Programs,2011,508
Central,P22M,Adult Program Attendance,2011,4598
Central,P23M,Other Circulation,2011,0
Central,P24M,Total Circulation,2011,235134
Central,C01M,Print Materials,2011,348786
Central,C02M,Audio Materials,2011,6669
Central,C03M,Video Materials,2011,7034
Central,C04M,Multi-format Materials,2011,23
Central,C05M,Other Physical Materials,2011,96
Central,C06M,Total Materials (Manually Input),2011,362608
Central,C07M,Print Serial Subscriptions,2011,482
Sun Ray,P01M,Population of the Legal Service Area,2011,21996
Sun Ray,P02aM,Registered Borrowers - Residents,2011,19929
Sun Ray,P02bM,Registered Borrowers - Reciprocal,2011,7213
Sun Ray,P02cM,Total Registered Borrowers (Manually Input),2011,27142
Sun Ray,P04M,Library Visits,2011,235455
Sun Ray,P06M,Reference Transactions,2011,34632
Sun Ray,P08M,Stations,2011,0
Sun Ray,P09M,Users of Public Internet Computers,2011,40581
Sun Ray,NA,Wireless Sessions,2011,NA
Sun Ray,P15M,Children's Circulation,2011,84399
Sun Ray,P16M,Children's Library Programs,2011,272
Sun Ray,P17M,Children's Program Attendance,2011,3323
Sun Ray,P18M,Yound Adult Library Programs,2011,26
Sun Ray,P19M,Young Adult Program Attendance,2011,254
Sun Ray,P20M,Adult Circulation,2011,123503
Sun Ray,P21M,Adult Library Programs,2011,98
Sun Ray,P22M,Adult Program Attendance,2011,972
Sun Ray,P23M,Other Circulation,2011,0
Sun Ray,P24M,Total Circulation,2011,207902
Sun Ray,C01M,Print Materials,2011,49138
Sun Ray,C02M,Audio Materials,2011,4208
Sun Ray,C03M,Video Materials,2011,6332
Sun Ray,C04M,Multi-format Materials,2011,8
Sun Ray,C05M,Other Physical Materials,2011,97
Sun Ray,C06M,Total Materials (Manually Input),2011,59783
Sun Ray,C07M,Print Serial Subscriptions,2011,118
West 7th Street Popular,P01M,Population of the Legal Service Area,2011,4326
West 7th Street Popular,P02aM,Registered Borrowers - Residents,2011,3077
West 7th Street Popular,P02bM,Registered Borrowers - Reciprocal,2011,431
West 7th Street Popular,P02cM,Total Registered Borrowers (Manually Input),2011,3508
West 7th Street Popular,P04M,Library Visits,2011,46631
West 7th Street Popular,P06M,Reference Transactions,2011,14638
West 7th Street Popular,P08M,Stations,2011,0
West 7th Street Popular,P09M,Users of Public Internet Computers,2011,11358
West 7th Street Popular,NA,Wireless Sessions,2011,NA
West 7th Street Popular,P15M,Children's Circulation,2011,31585
West 7th Street Popular,P16M,Children's Library Programs,2011,115
West 7th Street Popular,P17M,Children's Program Attendance,2011,2024
West 7th Street Popular,P18M,Yound Adult Library Programs,2011,17
West 7th Street Popular,P19M,Young Adult Program Attendance,2011,165
West 7th Street Popular,P20M,Adult Circulation,2011,39208
West 7th Street Popular,P21M,Adult Library Programs,2011,17
West 7th Street Popular,P22M,Adult Program Attendance,2011,702
West 7th Street Popular,NA,Total Programs,2011,NA
West 7th Street Popular,NA,Total Program Attendance,2011,NA
West 7th Street Popular,P23M,Other Circulation,2011,0
West 7th Street Popular,P24M,Total Circulation,2011,70793
West 7th Street Popular,C01M,Print Materials,2011,7924
West 7th Street Popular,C02M,Audio Materials,2011,1127
West 7th Street Popular,C03M,Video Materials,2011,1264
West 7th Street Popular,C04M,Multi-format Materials,2011,0
West 7th Street Popular,C05M,Other Physical Materials,2011,93
West 7th Street Popular,C06M,Total Materials (Manually Input),2011,10408
West 7th Street Popular,C07M,Print Serial Subscriptions,2011,15
Arlington Hills,C01M,Print Materials,2013,18353
Arlington Hills,C02M,Audio Materials,2013,NA
Arlington Hills,C03M,Video Materials,2013,4781
Arlington Hills,C04M,Multi-format Materials,2013,NA
Arlington Hills,C05M,Other Physical Materials,2013,NA
Arlington Hills,C06M,Total Materials (Manually Input),2013,25610
Arlington Hills,C07M,Print Serial Subscriptions,2013,NA
Arlington Hills,P01M,Population of the Legal Service Area,2013,NA
Arlington Hills,P02aM,Registered Borrowers - Residents,2013,NA
Arlington Hills,P02bM,Registered Borrowers - Reciprocal,2013,NA
Arlington Hills,P02cM,Total Registered Borrowers/Users,2013,14699
Arlington Hills,P04M,Library Visits,2013,85399
Arlington Hills,P06M,Reference Transactions,2013,NA
Arlington Hills,P08M,Stations,2013,NA
Arlington Hills,P09M,Annual Public Internet Computer Sessions,2013,23121
Arlington Hills,P15M,Wireless Sessions,2013,NA
Arlington Hills,P16M,Children's Circulation,2013,32119
Arlington Hills,P17M,Children's Library Programs,2013,NA
Arlington Hills,P18M,Children's Program Attendance,2013,NA
Arlington Hills,P19M,Young Adult Library Programs,2013,NA
Arlington Hills,P20M,Young Adult Program Attendance,2013,NA
Arlington Hills,P21M,Adult Circulation,2013,27507
Arlington Hills,P22M,Adult Library Programs,2013,NA
Arlington Hills,P23M,Adult Program Attendance,2013,NA
Arlington Hills,P24M,Other Circulation,2013,NA
Arlington Hills,P25M,Total Circulation (Manually Input),2013,59626
Arlington Hills,P26M,Total Programs (Manually Input),2013,NA
Dayton's Bluff,P01M,Population of the Legal Service Area,2013,14457
Dayton's Bluff,P02aM,Registered Borrowers - Residents,2013,10729
Dayton's Bluff,P02bM,Registered Borrowers - Reciprocal,2013,3275
Dayton's Bluff,P02cM,Total Registered Borrowers,2013,14004
Dayton's Bluff,P04M,Library Visits,2013,113152
Dayton's Bluff,P06M,Reference Transactions,2013,20618
Dayton's Bluff,P08M,Stations,2013,NA
Dayton's Bluff,P09M,Annual Public Internet Computer Sessions,2013,19218
Dayton's Bluff,NA,Wireless Sessions,2013,NA
Dayton's Bluff,P15M,Children's Circulation,2013,32200
Dayton's Bluff,P16M,Children's Library Programs,2013,86
Dayton's Bluff,P17M,Children's Program Attendance,2013,1416
Dayton's Bluff,P18M,Young Adult Library Programs,2013,22
Dayton's Bluff,P19M,Young Adult Program Attendance,2013,439
Dayton's Bluff,P20M,Adult Circulation,2013,37347
Dayton's Bluff,P21M,Adult Library Programs,2013,281
Dayton's Bluff,P22M,Adult Program Attendance,2013,1976
Dayton's Bluff,P23M,Other Circulation,2013,0
Dayton's Bluff,P24M,Total Circulation (Manually Input),2013,69547
Dayton's Bluff,P25M,Total Programs (Manually Input),2013,389
Dayton's Bluff,P26M,Total Attendance (Manually Input),2013,3831
Dayton's Bluff,C01M,Print Materials,2013,22878
Dayton's Bluff,C02M,Audio Materials,2013,2655
Dayton's Bluff,C03M,Video Materials,2013,6744
Dayton's Bluff,C04M,Multi-format Materials,2013,27
Dayton's Bluff,C05M,Other Physical Materials,2013,9
Dayton's Bluff,C06M,Total Materials (Manually Input),2013,32313
Dayton's Bluff,C07M,Print Serial Subscriptions,2013,30
Hamline Midway,P01M,Population of the Legal Service Area,2013,15989
Hamline Midway,P02aM,Registered Borrowers - Residents,2013,9026
Hamline Midway,P02bM,Registered Borrowers - Reciprocal,2013,1476
Hamline Midway,P02cM,Total Registered Borrowers,2013,10502
Hamline Midway,P04M,Library Visits,2013,88961
Hamline Midway,P06M,Reference Transactions,2013,13858
Hamline Midway,P08M,Stations,2013,NA
Hamline Midway,P09M,Users of Public Internet Computers,2013,11897
Hamline Midway,P15M,Children's Circulation,2013,45500
Hamline Midway,P16M,Children's Library Programs,2013,125
Hamline Midway,P17M,Children's Program Attendance,2013,2963
Hamline Midway,P18M,Yound Adult Library Programs,2013,18
Hamline Midway,P19M,Young Adult Program Attendance,2013,210
Hamline Midway,P20M,Adult Circulation,2013,48363
Hamline Midway,P21M,Adult Library Programs,2013,58
Hamline Midway,P22M,Adult Program Attendance,2013,773
Hamline Midway,P23M,Other Circulation,2013,0
Hamline Midway,P24M,Total Circulation,2013,93863
Hamline Midway,NA,Total Programs (Manually Input),2013,201
Hamline Midway,NA,Total Attendance (Manually Input),2013,3946
Hamline Midway,C01M,Print Materials,2013,20322
Hamline Midway,C02M,Audio Materials,2013,2662
Hamline Midway,C03M,Video Materials,2013,3455
Hamline Midway,C04M,Multi-format Materials,2013,2
Hamline Midway,C05M,Other Physical Materials,2013,8
Hamline Midway,C06M,Total Materials (Manually Input),2013,26449
Hamline Midway,C07M,Print Serial Subscriptions,2013,44
Hamline Midway,NA,Wireless Sessions,2013,NA
Hayden Heights,P01M,Population of the Legal Service Area,2013,29960
Hayden Heights,P02aM,Registered Borrowers - Residents,2013,18538
Hayden Heights,P02bM,Registered Borrowers - Reciprocal,2013,5123
Hayden Heights,P02cM,Total Registered Borrowers (Manually Input),2013,23661
Hayden Heights,P04M,Library Visits,2013,92185
Hayden Heights,P06M,Reference Transactions,2013,31434
Hayden Heights,P08M,Stations,2013,NA
Hayden Heights,P09M,Users of Public Internet Computers,2013,19115
Hayden Heights,NA,Wireless Sessions,2013,NA
Hayden Heights,P15M,Children's Circulation,2013,50738
Hayden Heights,P16M,Children's Library Programs,2013,235
Hayden Heights,P17M,Children's Program Attendance,2013,6398
Hayden Heights,P18M,Yound Adult Library Programs,2013,70
Hayden Heights,P19M,Young Adult Program Attendance,2013,587
Hayden Heights,P20M,Adult Circulation,2013,47269
Hayden Heights,P21M,Adult Library Programs,2013,195
Hayden Heights,P22M,Adult Program Attendance,2013,1399
Hayden Heights,P23M,Other Circulation,2013,0
Hayden Heights,P24M,Total Circulation,2013,98007
Hayden Heights,NA,Total Programs (Manually Input),2013,500
Hayden Heights,NA,Total Attendance (Manually Input),2013,8384
Hayden Heights,C01M,Print Materials,2013,39739
Hayden Heights,C02M,Audio Materials,2013,2716
Hayden Heights,C03M,Video Materials,2013,5694
Hayden Heights,C04M,Multi-format Materials,2013,15
Hayden Heights,C05M,Other Physical Materials,2013,33
Hayden Heights,C06M,Total Materials (Manually Input),2013,48197
Hayden Heights,C07M,Print Serial Subscriptions,2013,60
Highland,P01M,Population of the Legal Service Area,2013,37210
Highland,P02aM,Registered Borrowers - Residents,2013,29237
Highland,P02bM,Registered Borrowers - Reciprocal,2013,9127
Highland,P02cM,Total Registered Borrowers (Manually Input),2013,38364
Highland,P04M,Library Visits,2013,222584
Highland,P06M,Reference Transactions,2013,51948
Highland,P08M,Stations,2013,NA
Highland,P09M,Users of Public Internet Computers,2013,27973
Highland,NA,Wireless Sessions,2013,NA
Highland,P15M,Children's Circulation,2013,172672
Highland,P16M,Children's Library Programs,2013,126
Highland,P17M,Children's Program Attendance,2013,5013
Highland,P18M,Yound Adult Library Programs,2013,19
Highland,P19M,Young Adult Program Attendance,2013,243
Highland,P20M,Adult Circulation,2013,240465
Highland,P21M,Adult Library Programs,2013,68
Highland,P22M,Adult Program Attendance,2013,635
Highland,P23M,Other Circulation,2013,0
Highland,P24M,Total Circulation,2013,413137
Highland,NA,Total Programs (Manually Input),2013,213
Highland,NA,Total Attendance (Manually Input),2013,5891
Highland,C01M,Print Materials,2013,59314
Highland,C02M,Audio Materials,2013,3888
Highland,C03M,Video Materials,2013,5658
Highland,C04M,Multi-format Materials,2013,16
Highland,C05M,Other Physical Materials,2013,5
Highland,C06M,Total Materials (Manually Input),2013,68881
Highland,C07M,Print Serial Subscriptions,2013,84
Merriam Park,P01M,Population of the Legal Service Area,2013,30547
Merriam Park,P02aM,Registered Borrowers - Residents,2013,20570
Merriam Park,P02bM,Registered Borrowers - Reciprocal,2013,5867
Merriam Park,P02cM,Total Registered Borrowers (Manually Input),2013,26437
Merriam Park,P04M,Library Visits,2013,138033
Merriam Park,P06M,Reference Transactions,2013,23946
Merriam Park,P08M,Stations,2013,NA
Merriam Park,P09M,Users of Public Internet Computers,2013,19287
Merriam Park,P15M,Children's Circulation,2013,118753
Merriam Park,NA,Wireless Sessions,2013,NA
Merriam Park,P16M,Children's Library Programs,2013,110
Merriam Park,P17M,Children's Program Attendance,2013,4545
Merriam Park,P18M,Yound Adult Library Programs,2013,15
Merriam Park,P19M,Young Adult Program Attendance,2013,118
Merriam Park,P20M,Adult Circulation,2013,203803
Merriam Park,P21M,Adult Library Programs,2013,43
Merriam Park,P22M,Adult Program Attendance,2013,628
Merriam Park,P23M,Other Circulation,2013,0
Merriam Park,P24M,Total Circulation,2013,322556
Merriam Park,NA,Total Programs (Manually Input),2013,168
Merriam Park,NA,Total Attendance (Manually Input),2013,5291
Merriam Park,C01M,Print Materials,2013,62256
Merriam Park,C02M,Audio Materials,2013,6995
Merriam Park,C03M,Video Materials,2013,8859
Merriam Park,C04M,Multi-format Materials,2013,9
Merriam Park,C05M,Other Physical Materials,2013,15
Merriam Park,C06M,Total Materials (Manually Input),2013,78134
Merriam Park,C07M,Print Serial Subscriptions,2013,106
Rice Street,P01M,Population of the Legal Service Area,2013,29755
Rice Street,P02aM,Registered Borrowers - Residents,2013,18745
Rice Street,P02bM,Registered Borrowers - Reciprocal,2013,3677
Rice Street,P02cM,Total Registered Borrowers (Manually Input),2013,22422
Rice Street,P04M,Library Visits,2013,174974
Rice Street,P06M,Reference Transactions,2013,19604
Rice Street,P08M,Stations,2013,NA
Rice Street,P09M,Users of Public Internet Computers,2013,27829
Rice Street,NA,Wireless Sessions,2013,NA
Rice Street,P15M,Children's Circulation,2013,38289
Rice Street,P16M,Children's Library Programs,2013,116
Rice Street,P17M,Children's Program Attendance,2013,1625
Rice Street,P18M,Yound Adult Library Programs,2013,69
Rice Street,P19M,Young Adult Program Attendance,2013,1464
Rice Street,P20M,Adult Circulation,2013,46250
Rice Street,P21M,Adult Library Programs,2013,385
Rice Street,P22M,Adult Program Attendance,2013,1742
Rice Street,P23M,Other Circulation,2013,0
Rice Street,P24M,Total Circulation,2013,84539
Rice Street,NA,Total Programs (Manually Input),2013,570
Rice Street,NA,Total Attendance (Manually Input),2013,4831
Rice Street,C01M,Print Materials,2013,34812
Rice Street,C02M,Audio Materials,2013,2675
Rice Street,C03M,Video Materials,2013,6791
Rice Street,C04M,Multi-format Materials,2013,22
Rice Street,C05M,Other Physical Materials,2013,10
Rice Street,C06M,Total Materials (Manually Input),2013,44310
Rice Street,C07M,Print Serial Subscriptions,2013,42
Riverview,P01M,Population of the Legal Service Area,2013,14959
Riverview,P02aM,Registered Borrowers - Residents,2013,11383
Riverview,P02bM,Registered Borrowers - Reciprocal,2013,1894
Riverview,P02cM,Total Registered Borrowers (Manually Input),2013,13277
Riverview,P04M,Library Visits,2013,74867
Riverview,P06M,Reference Transactions,2013,6474
Riverview,P08M,Stations,2013,NA
Riverview,P09M,Users of Public Internet Computers,2013,11247
Riverview,NA,Wireless Sessions,2013,NA
Riverview,P15M,Children's Circulation,2013,28727
Riverview,P16M,Children's Library Programs,2013,135
Riverview,P17M,Children's Program Attendance,2013,1745
Riverview,P18M,Yound Adult Library Programs,2013,3
Riverview,P19M,Young Adult Program Attendance,2013,35
Riverview,P20M,Adult Circulation,2013,32880
Riverview,P21M,Adult Library Programs,2013,88
Riverview,P22M,Adult Program Attendance,2013,1577
Riverview,P23M,Other Circulation,2013,0
Riverview,P24M,Total Circulation,2013,61607
Riverview,NA,Total Programs (Manually Input),2013,226
Riverview,NA,Total Attendance (Manually Input),2013,3357
Riverview,C01M,Print Materials,2013,19268
Riverview,C02M,Audio Materials,2013,2424
Riverview,C03M,Video Materials,2013,3945
Riverview,C04M,Multi-format Materials,2013,NA
Riverview,C05M,Other Physical Materials,2013,NA
Riverview,C06M,Total Materials (Manually Input),2013,25673
Riverview,C07M,Print Serial Subscriptions,2013,NA
St. Anthony Park,P01M,Population of the Legal Service Area,2013,NA
St. Anthony Park,P02aM,Registered Borrowers - Residents,2013,NA
St. Anthony Park,P02bM,Registered Borrowers - Reciprocal,2013,NA
St. Anthony Park,P02cM,Total Registered Borrowers (Manually Input),2013,15950
St. Anthony Park,P04M,Library Visits,2013,73540
St. Anthony Park,P06M,Reference Transactions,2013,NA
St. Anthony Park,P08M,Stations,2013,NA
St. Anthony Park,P09M,Users of Public Internet Computers,2013,6038
St. Anthony Park,NA,Wireless Sessions,2013,NA
St. Anthony Park,P15M,Children's Circulation,2013,64098
St. Anthony Park,P16M,Children's Library Programs,2013,NA
St. Anthony Park,P17M,Children's Program Attendance,2013,NA
St. Anthony Park,P18M,Yound Adult Library Programs,2013,NA
St. Anthony Park,P19M,Young Adult Program Attendance,2013,NA
St. Anthony Park,P20M,Adult Circulation,2013,55238
St. Anthony Park,P21M,Adult Library Programs,2013,NA
St. Anthony Park,P22M,Adult Program Attendance,2013,NA
St. Anthony Park,P23M,Other Circulation,2013,NA
St. Anthony Park,P24M,Total Circulation,2013,119336
St. Anthony Park,C01M,Print Materials,2013,30823
St. Anthony Park,C02M,Audio Materials,2013,NA
St. Anthony Park,C03M,Video Materials,2013,3631
St. Anthony Park,C04M,Multi-format Materials,2013,NA
St. Anthony Park,C05M,Other Physical Materials,2013,NA
St. Anthony Park,C06M,Total Materials (Manually Input),2013,37176
St. Anthony Park,C07M,Print Serial Subscriptions,2013,NA
St. Paul Bookmobile,P01M,Population of the Legal Service Area,2013,0
St. Paul Bookmobile,P02aM,Registered Borrowers - Residents,2013,10053
St. Paul Bookmobile,P02bM,Registered Borrowers - Reciprocal,2013,683
St. Paul Bookmobile,P02cM,Total Registered Borrowers (Manually Input),2013,10736
St. Paul Bookmobile,P04M,Library Visits,2013,142279
St. Paul Bookmobile,P06M,Reference Transactions,2013,32838
St. Paul Bookmobile,P08M,Stations,2013,NA
St. Paul Bookmobile,P09M,Users of Public Internet Computers,2013,0
St. Paul Bookmobile,P15M,Children's Circulation,2013,81855
St. Paul Bookmobile,P16M,Children's Library Programs,2013,1330
St. Paul Bookmobile,P17M,Children's Program Attendance,2013,26238
St. Paul Bookmobile,P18M,Young Adult Library Programs,2013,1
St. Paul Bookmobile,P19M,Young Adult Program Attendance,2013,2
St. Paul Bookmobile,P20M,Adult Circulation,2013,43918
St. Paul Bookmobile,P21M,Adult Library Programs,2013,1
St. Paul Bookmobile,P22M,Adult Program Attendance,2013,56
St. Paul Bookmobile,P23M,Other Circulation,2013,0
St. Paul Bookmobile,P24M,Total Circulation,2013,125773
St. Paul Bookmobile,NA,Total Programs,2013,1332
St. Paul Bookmobile,C01M,Print Materials,2013,16019
St. Paul Bookmobile,C02M,Audio Materials,2013,576
